|-----------|---------------------------------|-----------------------------------|
| AS NUMBER | IP RANGE                        | ORGANISATION                      |
|-----------|---------------------------------|-----------------------------------|
| AS3491    | 63.216.0.0 - 63.223.255.255     | PCCW Global, Inc.                 |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 72.14.192.0 - 72.14.255.255     | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 142.250.0.0 - 142.251.255.255   | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS60068   | 185.229.188.0 - 185.229.188.255 | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 173.252.64.0 - 173.252.127.255  | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 31.13.64.0 - 31.13.127.255      | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 129.134.0.0 - 129.134.255.255   | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
| AS212238  | 37.19.205.0 - 37.19.205.255     | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
| AS6453    | 64.86.0.0 - 64.86.255.255       | TATA COMMUNICATIONS (AMERICA) INC |
|-----------|---------------------------------|-----------------------------------|
|           | 108.166.224.0 - 108.166.255.255 |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS60068   | 45.134.215.0 - 45.134.215.255   | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
| AS13335   | 172.64.0.0 - 172.71.255.255     | Cloudflare, Inc.                  |
|-----------|---------------------------------|-----------------------------------|
| AS209242  | 141.193.213.0 - 141.193.213.255 | Cloudflare London, LLC            |
|-----------|---------------------------------|-----------------------------------|
| AS2914    | 61.200.0.0 - 61.215.255.255     | NTT America, Inc.                 |
|-----------|---------------------------------|-----------------------------------|
| AS2914    | 116.51.16.0 - 116.51.31.255     | NTT America, Inc.                 |
|-----------|---------------------------------|-----------------------------------|
| AS14907   | 103.102.166.0 - 103.102.166.255 | Wikimedia Foundation Inc.         |
|-----------|---------------------------------|-----------------------------------|
| AS3491    | 63.216.0.0 - 63.223.255.255     | PCCW Global, Inc.                 |
|-----------|---------------------------------|-----------------------------------|
| AS3491    | 63.216.0.0 - 63.223.255.255     | PCCW Global, Inc.                 |
|-----------|---------------------------------|-----------------------------------|
| AS6453    | 207.45.192.0 - 207.45.223.255   | TATA COMMUNICATIONS (AMERICA) INC |
|-----------|---------------------------------|-----------------------------------|
| AS16509   | 52.84.0.0 - 52.95.255.255       | Amazon.com, Inc.                  |
|-----------|---------------------------------|-----------------------------------|
| AS6453    | 180.87.3.128 - 180.87.3.255     | TATA COMMUNICATIONS (AMERICA) INC |
|-----------|---------------------------------|-----------------------------------|
|           | 210.160.0.0 - 210.175.255.255   |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS13414   | 104.244.40.0 - 104.244.47.255   | Twitter Inc.                      |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 190.2.128.0 - 190.2.143.255     | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 109.236.95.0 - 109.236.95.255   | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 72.14.192.0 - 72.14.255.255     | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 142.250.0.0 - 142.251.255.255   | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 190.2.128.0 - 190.2.143.255     | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 109.236.95.0 - 109.236.95.255   | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 109.236.95.0 - 109.236.95.255   | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 157.240.0.0 - 157.240.255.255   | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
|           | 80.249.208.0 - 80.249.211.255   |                                   |
|-----------|---------------------------------|-----------------------------------|
|           | 52.84.0.0 - 52.95.255.255       |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS13335   | 141.101.65.0 - 141.101.65.255   | Cloudflare, Inc.                  |
|-----------|---------------------------------|-----------------------------------|
|           | 80.249.208.0 - 80.249.211.255   |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS14907   | 185.15.59.0 - 185.15.59.255     | Wikimedia Foundation Inc.         |
|-----------|---------------------------------|-----------------------------------|
| AS201011  | 5.56.21.0 - 5.56.21.255         | Core-Backbone GmbH                |
|-----------|---------------------------------|-----------------------------------|
|           | 206.82.104.0 - 206.82.107.255   |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS16509   | 54.224.0.0 - 54.255.255.255     | Amazon.com, Inc.                  |
|-----------|---------------------------------|-----------------------------------|
| AS174     | 154.54.0.0 - 154.54.255.255     | Cogent Communications             |
|-----------|---------------------------------|-----------------------------------|
| AS174     | 154.54.0.0 - 154.54.255.255     | Cogent Communications             |
|-----------|---------------------------------|-----------------------------------|
| AS174     | 38.0.0.0 - 38.255.255.255       | Cogent Communications             |
|-----------|---------------------------------|-----------------------------------|
| AS49981   | 109.236.95.0 - 109.236.95.255   | WorldStream B.V.                  |
|-----------|---------------------------------|-----------------------------------|
|           | 80.81.192.0 - 80.81.199.255     |                                   |
|-----------|---------------------------------|-----------------------------------|
| AS13414   | 104.244.40.0 - 104.244.47.255   | Twitter Inc.                      |
|-----------|---------------------------------|-----------------------------------|
| AS60068   | 89.187.176.0 - 89.187.179.255   | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
| AS60068   | 185.229.188.0 - 185.229.188.255 | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
| AS1299    | 62.115.160.0 - 62.115.191.255   | Arelion Sweden AB                 |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 72.14.192.0 - 72.14.255.255     | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS15169   | 142.250.0.0 - 142.251.255.255   | Google LLC                        |
|-----------|---------------------------------|-----------------------------------|
| AS7922    | 50.128.0.0 - 50.255.255.255     | Comcast Cable Communications, LLC |
|-----------|---------------------------------|-----------------------------------|
| AS7922    | 68.80.0.0 - 68.87.255.255       | Comcast Cable Communications, LLC |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 129.134.0.0 - 129.134.255.255   | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
| AS32934   | 31.13.64.0 - 31.13.127.255      | Facebook, Inc.                    |
|-----------|---------------------------------|-----------------------------------|
| AS7922    | 50.128.0.0 - 50.255.255.255     | Comcast Cable Communications, LLC |
|-----------|---------------------------------|-----------------------------------|
| AS174     | 130.117.0.0 - 130.117.255.255   | Cogent Communications             |
|-----------|---------------------------------|-----------------------------------|
| AS174     | 149.11.0.0 - 149.11.255.255     | Cogent Communications             |
|-----------|---------------------------------|-----------------------------------|
| AS60068   | 89.187.176.0 - 89.187.179.255   | Datacamp Limited                  |
|-----------|---------------------------------|-----------------------------------|
